Transaction-ID;Item 1;Item 2;Item 3;Item 4;Item 5;Item 6
1;Juice;Chips;Bread;Butter;Milk;Banana
2;Juice;;Bread;Butter;Milk;
3;;;Bread;Butter;Milk;
4;;Chips;;;;Banana
5;Juice;Chips;Bread;Butter;Milk;Banana
6;Juice;Chips;;;Milk;
7;Juice;Chips;Bread;Butter;;Banana
8;Juice;Chips;;;Milk;
9;Juice;;Bread;;;Banana
10;Juice;;Bread;Butter;Milk;
11;;Chips;Bread;Butter;;Banana
12;Juice;;;Butter;Milk;Banana
13;Juice;Chips;Bread;Butter;Milk;
14;Juice;;Bread;Butter;Milk;Banana
15;Juice;;Bread;Butter;Milk;Banana
16;Juice;Chips;Bread;Butter;Milk;Banana
17;;Chips;Bread;Butter;Milk;Banana
18;;Chips;;Butter;Milk;Banana
19;Juice;Chips;Bread;Butter;Milk;Banana
20;Juice;;Bread;Butter;Milk;Banana
21;Juice;Chips;Bread;;Milk;Banana
22;Juice;Chips;;;;
23;;;Bread;Butter;;Banana
24;;;Bread;Butter;Milk;Banana
25;Juice;Chips;;;;
26;;;Bread;Butter;;Banana
27;;Chips;Bread;Butter;Milk;Banana
28;Juice;;Bread;Butter;;Banana
29;;Chips;Bread;Butter;Milk;Banana
30;;Chips;Bread;Butter;;Banana
